Название книги;Цена со скидкой;Цена без скидки;Скидка %;Автор;Издательство;Наличие;Ссылка
Программирование. Основы Python для инженеров. Учебное пособие для вузов;1131;1616;30;Никитина, Королев;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/938331/
Разработка приложений с графическим пользовательским интерфейсом на языке Python. Учебное пособие;574;820;30;Букунов, Букунова;Лань;На складе;https://www.labirint.ru/books/938333/
Усовершенствованные структуры данных;3398;4854;30;Брасс Петер;ДМК-Пресс;На складе;https://www.labirint.ru/books/937791/
Методы линейного программирования;436;623;30;Божко, Беломойцев, Волосатова;Издательство МГТУ им. Н.Э.Баумана;На складе (ограниченное количество);https://www.labirint.ru/books/932819/
Освоение Lightning Network. Протокол второслойной блочной цепи для мгновенных Bitcoin-платежей;3398;4854;30;Антонопулос, Осунтокун, Пикхардт;ДМК-Пресс;На складе;https://www.labirint.ru/books/935200/
Python и анализ данных;3059;4370;30;МакКинни Уэс;ДМК-Пресс;На складе;https://www.labirint.ru/books/934317/
Алгоритмы;3398;4854;30;Эриксон Джефф;ДМК-Пресс;На складе;https://www.labirint.ru/books/934318/
Алгоритмы принятия решений;4248;6069;30;Кохендерфер, Уилер, Рэй;ДМК-Пресс;На складе;https://www.labirint.ru/books/934319/
Алгоритмы биоинформатики;4078;5826;30;Компо, Певзнер;ДМК-Пресс;На складе;https://www.labirint.ru/books/931230/
Предварительная подготовка данных в Python. Том 1. Инструменты и валидация;4078;5826;30;Груздев Артем Владимирович;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/931231/
Предварительная подготовка данных в Python. Том 2. План, примеры и метрики качества;4078;5826;30;Груздев Артем Владимирович;ДМК-Пресс;На складе;https://www.labirint.ru/books/931232/
Прогнозирование. Принципы и практика;3059;4370;30;Хайндман, Атанасопулос;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/931233/
Прикладные нейро-нечеткие вычислительные системы и устройства;1441;2058;30;Бобырь, Емельянов, Архипов;ИНФРА-М;На складе (ограниченное количество);https://www.labirint.ru/books/930992/
Power BI. Передовые методы оптимизации;2379;3398;30;Мерчант Бхавик;ДМК-Пресс;На складе;https://www.labirint.ru/books/929723/
Разработка веб-приложений GraphQL с React, Node.js и Neo4j;2548;3640;30;Лион Уильям;ДМК-Пресс;На складе;https://www.labirint.ru/books/929724/
Фундаментальные основы хакерства. Анализ программ в среде Win64;3401;4858;30;Касперски, Язев;Солон-пресс;На складе;https://www.labirint.ru/books/921231/
Основы компьютерного моделирования и визуализации + Электронное приложение;4392;6274;30;Борзяк, Топорков, Емельянов;Лань;На складе;https://www.labirint.ru/books/918582/
UX/UI дизайн для создания идеального продукта. Полный и исчерпывающий гид;1474;2105;30;Шуваев Ярослав Александрович;Бомбора;На складе (ограниченное количество);https://www.labirint.ru/books/907110/
Kubernetes изнутри;2548;3640;30;Вьяс, Лав;ДМК-Пресс;На складе;https://www.labirint.ru/books/911148/
С++ 20 в деталях;3059;4370;30;Райнер Гримм;ДМК-Пресс;На складе;https://www.labirint.ru/books/911149/
JavaScript и PHP. Content management system + Электронное приложение. Учебное пособие;2197;3139;30;Янцев Валерий Викторович;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/907454/
Алгоритмы и программы. Язык С++. Учебное пособие;2176;3109;30;Конова, Поллак;Лань;На складе;https://www.labirint.ru/books/530508/
JavaScript для начинающих;1112;1588;30;МакГрат Майк;Бомбора;На складе;https://www.labirint.ru/books/883430/
Интерактивные дашборды и приложения с Plotly и Dash. Используем полноценный веб-фреймворк в Python;2209;3155;30;Дабасс Элиас;ДМК-Пресс;На складе;https://www.labirint.ru/books/902269/
Asyncio и конкурентное программирование на Python;2889;4127;30;Фаулер Мэттью;ДМК-Пресс;На складе;https://www.labirint.ru/books/900476/
Создай свой собственный язык программирования. Руководство программиста по разработке компиляторов;2633;3761;30;Джеффери Клинтон Л.;ДМК-Пресс;На складе;https://www.labirint.ru/books/900479/
Основы теории интеллектуального управления энергосберегающими режимами. Учебное пособие;4099;5856;30;Поляков, Иванов;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/896566/
Система контроля версий. Основы командной разработки. Учебное пособие;4099;5856;30;Васильева, Филипченко;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/896567/
Разработка программного тренажера в среде многоагентного моделирования NetLogo. Учебное пособие;3221;4602;30;Исхаков Алмаз Раилевич;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/896570/
Эффективное тестирование программного обеспечения;3059;4370;30;Аниче Маурисио;ДМК-Пресс;На складе;https://www.labirint.ru/books/896017/
Микросервисы Spring в действии;3059;4370;30;Карнелл, Санчес;ДМК-Пресс;На складе;https://www.labirint.ru/books/840961/
Основы программирования на языке PascalABC.NET. Основные управляющие структуры. Практикум;899;1284;30;Ковалёва Зося Александровна;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/1003320/
Наиболее эффективное использование С++. 35 новых рекомендаций  по улучшению ваших программ;1189;1698;30;Мейерс Скотт;ДМК-Пресс;На складе;https://www.labirint.ru/books/411115/
Программирование микроконтроллеров ATMEL на языке C;855;1221;30;Прокопенко Вадим Сергеевич;Корона-Принт;На складе;https://www.labirint.ru/books/379809/
Искусственный интеллект с примерами на Python. Создание приложений искусственного интеллекта;2881;4115;30;Джоши Пратик;Вильямс;На складе;https://www.labirint.ru/books/681061/
Kafka в действии;2548;3640;30;Скотт, Гамов, Клейн;ДМК-Пресс;На складе;https://www.labirint.ru/books/874738/
Микропроцессорные системы. Применение микроконтроллеров семейства AVR для управления внешними устр.;808;1154;30;Сонькин, Шамин, Сонькин;Инфра-Инженерия;На складе (ограниченное количество);https://www.labirint.ru/books/884401/
Высокопроизводительные Python-приложения. Практическое руководство по эффективному программированию;1760;2514;30;Горелик, Йен;Бомбора;На складе;https://www.labirint.ru/books/882156/
JavaScript. Картинки, галереи, слайдеры. Учебное пособие для вузов;2928;4183;30;Янцев Валерий Викторович;Лань;На складе;https://www.labirint.ru/books/879343/
JavaScript. Картинки, галереи, слайдеры. Учебное пособие для СПО;2928;4183;30;Янцев Валерий Викторович;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/879344/
Entity Framework Core в действии;3398;4854;30;Смит Джон П.;ДМК-Пресс;На складе;https://www.labirint.ru/books/880127/
API в разработке приложений Autodesk Inventor. Практическое руководство;2197;3139;30;Дюймовский Пайни;Инфра-Инженерия;На складе;https://www.labirint.ru/books/877265/
Компьютерные системы. Архитектура и программирование;4248;6069;30;Брайант, О`Халларон;ДМК-Пресс;На складе;https://www.labirint.ru/books/877092/
Социальная инженерия и этичный хакинг на практике;1700;2428;30;Грей Джо;ДМК-Пресс;На складе;https://www.labirint.ru/books/877093/
Теория автоматического управления в примерах и задачах с решениями в MATLAB. Учебное пособие;3473;4961;30;Гайдук, Пьявченко, Беляев;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/521754/
Системы искусственного интеллекта. Моделирование нейронных сетей в системе MATLAB. Лабораторный пр.;1086;1551;30;Романов, Романова;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/820751/
Основы программирования. Учебник;1904;2720;30;Шеина Татьяна Юрьевна;Лань;На складе;https://www.labirint.ru/books/876067/
Моделирование систем управления. Учебник для вузов;3511;5016;30;Семенов, Юрков;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/845025/
Исследование операций. Том 2. Задачи транспортного типа. Учебник для вузов;2928;4183;30;Трушков Александр Сергеевич;Лань;На складе;https://www.labirint.ru/books/870524/
Kafka в действии;2548;3640;30;Скотт, Гамов, Клейн;ДМК-Пресс;На складе;https://www.labirint.ru/books/874738/
Объяснимые модели искусственного интеллекта на Python. Модель искусственного интеллекта;2209;3155;30;Мишра Прадипта;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/874740/
Проектирование гибких программ;2548;3640;30;Хансон, Сассман;ДМК-Пресс;На складе;https://www.labirint.ru/books/874741/
Криптографические основы блокчейн-технологий;1700;2428;30;Ищукова, Панасенко, Романенко;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/872114/
Основы тестирования и верификации программного обеспечения. Учебное пособие;3173;4533;30;Старолетов Сергей Михайлович;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/669708/
Разработка игр на языке JavaScript. Учебное пособие;510;728;30;Беляев Сергей Алексеевич;Лань;На складе;https://www.labirint.ru/books/771559/
