Название книги;Цена со скидкой;Цена без скидки;Скидка %;Автор;Издательство;Наличие;Ссылка
Шаблоны корпоративных приложений;4320;6172;30;Фаулер, Райс, Фоммел;Диалектика;На складе (ограниченное количество);https://www.labirint.ru/books/236978/
Visual C# 2.0.NET. Полное руководство;553;790;30;Прайс, Гандэрлой;Корона-Принт;На складе;https://www.labirint.ru/books/147878/
Предметно-ориентированное проектирование (DDD). Структуризация сложных программных систем;5760;8229;0;Эванс Эрик;Вильямс;На складе (ограниченное количество);https://www.labirint.ru/books/512940/
C++ для чайников;1440;2057;30;Дэвис Стефан Рэнди;Диалектика;На складе;https://www.labirint.ru/books/513049/
Рефакторинг. Улучшение проекта существующего кода;3648;5212;30;Бек, Фаулер, Брант;Диалектика;На складе;https://www.labirint.ru/books/601754/
Семь баз данных за семь недель. Введение в современные базы данных и идеологию NoSQL;1530;2185;30;Редмонд, Уилсон;ДМК-Пресс;На складе;https://www.labirint.ru/books/365195/
Шаблоны проектирования Node.JS;1954;2791;30;Касиаро, Маммино;ДМК-Пресс;На складе;https://www.labirint.ru/books/599022/
Разработка современных веб-приложений. Анализ предметных областей и технологий;2400;3429;30;Эспозито Дино;Вильямс;На складе (ограниченное количество);https://www.labirint.ru/books/597978/
Среда динамического моделирования технических систем SimInTech. Практикум по моделированию систем;2038;2912;30;Карташов, Козлов, Шабаев;ДМК-Пресс;На складе;https://www.labirint.ru/books/593015/
Алгоритмы. Справочник с примерами на C, C++, Java и Python;2881;4115;30;Хайнеман, Поллис, Селков;Вильямс;На складе;https://www.labirint.ru/books/590528/
Изучаем JavaScript. Руководство по созданию современных веб-сайтов;2209;3155;30;Браун Этан;Вильямс;На складе;https://www.labirint.ru/books/590530/
Изучаем OpenCV 3;3739;5341;30;Кэлер, Брэдски;ДМК-Пресс;На складе;https://www.labirint.ru/books/588897/
Семь языков за семь недель. Практическое руководство по изучению языков программирования;1443;2062;30;Тейт Брюс;ДМК-Пресс;На складе;https://www.labirint.ru/books/588899/
Предметно-ориентированное проектирование. Самое основное;2209;3155;30;Вернон Вон;Диалектика;На складе;https://www.labirint.ru/books/581925/
Введение в Elixir. Введение в функциональное программирование;1189;1698;30;Сенлорен, Эйзенберг;ДМК-Пресс;На складе;https://www.labirint.ru/books/581645/
Моделирование аукционов;1103;1576;30;Демешев Борис Борисович;ДМК-Пресс;На складе;https://www.labirint.ru/books/581649/
Как самому написать мобильную 2D-игру;936;1337;30;Язев Юрий Евгеньевич;Солон-пресс;На складе (ограниченное количество);https://www.labirint.ru/books/579084/
Python и машинное обучение;2719;3884;30;Рашка Себастьян;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/577069/
Прикладная криптография. Протоколы, алгоритмы и исходный код на C;7200;10286;0;Шнайер Брюс;Диалектика;На складе (ограниченное количество);https://www.labirint.ru/books/576267/
ASP.NET Core MVC с примерами на C# для профессионалов;5088;7269;0;Фримен Адам;Диалектика;На складе (ограниченное количество);https://www.labirint.ru/books/574109/
Стек, или Путешествие туда и обратно;764;1092;30;Вторников Алексей Анатольевич;ДМК-Пресс;На складе;https://www.labirint.ru/books/574855/
Изучаем PHP 7. Руководство по созданию интерактивных веб-сайтов;2881;4115;30;Скляр Дэвид;Диалектика;На складе;https://www.labirint.ru/books/569173/
Использование Docker;1687;2410;30;Моуэт Эдриен;ДМК-Пресс;На складе;https://www.labirint.ru/books/566829/
Цифровая обработка сигналов на языке Python;1019;1455;30;Дауни Аллен Б.;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/565114/
Cassandra. Полное руководство;1614;2306;30;Карпентер, Хьюитт;ДМК-Пресс;На складе;https://www.labirint.ru/books/562032/
Изучаем Angular 2;1189;1698;30;Дилеман Пабло;ДМК-Пресс;На складе;https://www.labirint.ru/books/562033/
Разработка обслуживаемых программ на языке C#;1103;1576;30;Виссер Джуст;ДМК-Пресс;На складе;https://www.labirint.ru/books/562034/
Разработка обслуживаемых программ на языке Java;1103;1576;30;Виссер Джуст;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/562035/
Инженерия требований;1530;2185;30;Халл, Джексон, Дик;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/560047/
Введение в современные САПР. Курс лекций;594;849;30;Малюх Владимир Николаевич;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/214169/
Функциональное программирование на F#;935;1335;30;Сошников Дмитрий Валерьевич;ДМК-Пресс;На складе;https://www.labirint.ru/books/275240/
Скользкие места С++. Как избежать проблем  при проектировании и компиляции ваших программ;935;1335;30;Дьюхэрст Стефан К.;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/348194/
Dart в действии;1784;2548;30;Баккет Крис;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/387166/
Параллельное и конкурентное программирование на Haskell;1700;2428;30;Марлоу Саймон;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/435408/
Практическое использование Common Lisp;2209;3155;30;Сайбель Питер;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/455824/
Сбор данных в Интернете на языке R;1443;2062;30;Храмов Дмитрий Александрович;ДМК-Пресс;На складе;https://www.labirint.ru/books/555829/
Unity 5.x. Программирование искусственного интеллекта в играх;1530;2185;30;Паласиос Хорхе;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/554146/
Эффективное использование С++. 55 верных способов улучшить структуру и код ваших программ;1189;1698;30;Мэйерс Скотт;ДМК-Пресс;На складе;https://www.labirint.ru/books/427982/
Изучаем SQL. Генерация, выборка и обработка данных;2881;4115;30;Болье Алан;Диалектика;На складе (ограниченное количество);https://www.labirint.ru/books/811526/
Kubernetes изнутри;2548;3640;30;Вьяс, Лав;ДМК-Пресс;На складе;https://www.labirint.ru/books/911148/
R. Книга рецептов. Проверенные рецепты для статистики, анализа и визуализации;3059;4370;30;Лонг, Титор;ДМК-Пресс;На складе;https://www.labirint.ru/books/735550/
Программирование в Roblox. Сделать игру - проще простого;1700;2428;30;Брамбо Зандер;ДМК-Пресс;На складе;https://www.labirint.ru/books/859415/
Анализ поведенческих данных на R и PYTHON;2548;3640;30;Бюиссон Флоран;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/828096/
Программирование на ассемблере х64. От начального уровня до профессионального использования AVX64;2209;3155;30;Йо Ван Гуй;ДМК-Пресс;На складе;https://www.labirint.ru/books/806582/
Assembler. Для DOS, Windows и Unix;1700;2428;30;Зубков Сергей Владимирович;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/282428/
Лямбда-выражения в Java 8. Функциональное программирование - в массы;1019;1455;30;Уорбэртон Ричард;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/442834/
Оптимизация приложений на платформе .Net;2213;3161;30;Голдштейн, Зурбалев, Флатов;ДМК-Пресс;На складе;https://www.labirint.ru/books/408451/
Аналоговые интерфейсы микроконтроллеров;1359;1941;30;Болл Стюарт Р.;Додека XXI век;На складе;https://www.labirint.ru/books/150354/
Практическое использование Vim. Редактируйте текст со скоростью мысли;1530;2185;30;Нейл Дрю;ДМК-Пресс;На складе;https://www.labirint.ru/books/410584/
Анализ сетей (графов) в среде R. Руководство пользователя;1784;2548;30;Люк Дуглас А.;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/547710/
Bootstrap в примерах;1189;1698;30;Морето Сильвио;ДМК-Пресс;На складе;https://www.labirint.ru/books/545697/
Изучай Haskell во имя добра!;1530;2185;30;Липовача Миран;ДМК-Пресс;На складе;https://www.labirint.ru/books/417791/
Вычислительная геометрия. Алгоритмы и приложения;2719;3884;30;Де, Чеонг, Ван;ДМК-Пресс;На складе;https://www.labirint.ru/books/542604/
Разработка веб-приложений в ReactJS;1530;2185;30;Хортон, Вайс;ДМК-Пресс;На складе;https://www.labirint.ru/books/537910/
Введение в статистическое обучение с примерами на языке R;2889;4127;30;Джеймс, Уиттон, Тибширани;ДМК-Пресс;На складе;https://www.labirint.ru/books/534138/
Современное программирование с нуля!;1359;1941;30;Потопахин Виталий Валерьевич;ДМК-Пресс;На складе;https://www.labirint.ru/books/534139/
Android NDK. Руководство для начинающих;1702;2432;30;Ретабоуил Сильвен;ДМК-Пресс;На складе;https://www.labirint.ru/books/533397/
Скрапинг веб-сайтов с помощью Python. Сбор данных из современного интернета;1443;2062;30;Митчелл Райан;ДМК-Пресс;На складе;https://www.labirint.ru/books/533405/
PIC-микроконтроллеры: архитектура и программирование;1530;2185;30;Предко Майкл;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/196182/
Управление электронными устройствами на С++. Разработка практических приложений;1868;2668;30;Катупития, Бентли;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/529493/
C# 6.0. Справочник. Полное описание языка;3648;5212;30;Албахари, Албахари;Вильямс;На складе (ограниченное количество);https://www.labirint.ru/books/529149/
Искусство автономного тестирования с примерами на С#;1868;2668;30;Ошероув Рой;ДМК-Пресс;На складе;https://www.labirint.ru/books/427977/
Руководство по микропрограммному обеспечению;1614;2306;30;Нет данных об авторе;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/528519/
Программирование компьютерного зрения на языке Python;1530;2185;30;Солем Ян Эрик;ДМК-Пресс;На складе;https://www.labirint.ru/books/528211/
UML Проектирование систем реального времени, распределенных и параллельных приложений;2124;3034;30;Гома Хассан;ДМК-Пресс;На складе;https://www.labirint.ru/books/528212/
Анализ больших наборов данных;2548;3640;30;Лесковец, Ульман, Раджараман;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/525295/
Построение компиляторов;849;1213;30;Вирт Никлаус;ДМК-Пресс;На складе;https://www.labirint.ru/books/525297/
Современный PHP. Новые возможности и передовой опыт;1443;2062;30;Локхарт Джош;ДМК-Пресс;На складе;https://www.labirint.ru/books/524344/
Наиболее эффективное использование С++. 35 новых рекомендаций  по улучшению ваших программ;1189;1698;30;Мейерс Скотт;ДМК-Пресс;На складе;https://www.labirint.ru/books/411115/
Численные методы анализа и линейной алгебры. Использование Matlab и Scilab. Учебное пособие;1520;2172;30;Квасов Борис Ильич;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/521739/
Введение в надежное и безопасное распределенное программирование;2209;3155;30;Качина, Гуерру, Родригес;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/520569/
C# 6.0. Карманный справочник;576;823;30;Албахари, Албахари;Вильямс;На складе (ограниченное количество);https://www.labirint.ru/books/518949/
Разработка веб-приложений с использованием Flask на языке Python;1530;2185;30;Гринберг Мигель;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/446705/
Введение в ECMAScript 6;849;1213;30;Прасти Нараян;ДМК-Пресс;На складе;https://www.labirint.ru/books/516657/
Программирование мобильных устройств на платформе .Net Compact Framework;672;960;30;Самре Иво;Вильямс;На складе (ограниченное количество);https://www.labirint.ru/books/512840/
Разработка приложений для iPhone, iPad и iPod touch с использованием iOS SDK;1440;2057;30;Марк, Наттинг, Ламарш;Вильямс;На складе;https://www.labirint.ru/books/512872/
Silverlight 5 с примерами на C# для профессионалов;1728;2469;30;Мак-Дональд Мэтью;Вильямс;На складе;https://www.labirint.ru/books/512879/
Java EE 7. Основы;865;1235;30;Гупта Арун;Вильямс;На складе (ограниченное количество);https://www.labirint.ru/books/512896/
Java SE 8. Вводный курс;865;1235;30;Хорстманн Кей С.;Вильямс;На складе (ограниченное количество);https://www.labirint.ru/books/512897/
Joomla! Для профессионалов;1440;2057;30;Рамел Дэн;Вильямс;На складе (ограниченное количество);https://www.labirint.ru/books/512898/
Microsoft Exchange Server 2013. Полное руководство;2881;4115;30;Моримото, Ноэл, Ярдени;Вильямс;На складе (ограниченное количество);https://www.labirint.ru/books/512899/
WinRT. программирование на C# для профессионалов;1440;2057;30;Рихтер, ван;Вильямс;На складе (ограниченное количество);https://www.labirint.ru/books/512901/
Программирование для iOS 7. Основы Objective-C, Xcode и Cocoa;1152;1646;30;Нойбург Мэтт;Вильямс;На складе (ограниченное количество);https://www.labirint.ru/books/512905/
Руководство для программиста на Java. 75 рекомендаций по написанию надежных и защищенных программ;769;1098;30;Лонг, Мохиндра, Сикорд;Вильямс;На складе (ограниченное количество);https://www.labirint.ru/books/512906/
Drupal 7. Руководство пользователя;288;412;30;Колисниченко Денис Николаевич;Диалектика;На складе (ограниченное количество);https://www.labirint.ru/books/513005/
Joomla 2.5. Руководство пользователя;480;686;30;Колисниченко Денис Николаевич;Диалектика;На складе (ограниченное количество);https://www.labirint.ru/books/513012/
C# 5.0 и платформа .NET 4.5 для профессионалов;2209;3155;30;Глинн, Нейгел, Ивьен;Диалектика;На складе (ограниченное количество);https://www.labirint.ru/books/513023/
Python на практике. Создание качественных программ с использованием параллелизма и библиотек;1359;1941;30;Саммерфилд Марк;ДМК-Пресс;На складе;https://www.labirint.ru/books/435407/
Поисковая адаптация. Теория и практика;460;657;30;Курейчик, Лебедев, Лебедев;Физматлит;На складе (ограниченное количество);https://www.labirint.ru/books/511908/
Методы оптимальных решений. В 2 томах. Том 1. Общие положения. Математическое программирование;1126;1609;30;Соколов, Токарев;Физматлит;На складе (ограниченное количество);https://www.labirint.ru/books/510432/
Методы оптимальных решений. В 2 томах. Том 2. Многокритериальность. Динамика. Неопределенность;1070;1528;30;Токарев Владислав Васильевич;Физматлит;На складе (ограниченное количество);https://www.labirint.ru/books/510433/
Обработка естественного языка на Java;1512;2160;30;Риз Ричард;ДМК-Пресс;На складе;https://www.labirint.ru/books/510714/
Теория вычислений для программистов;1359;1941;30;Стюарт Том;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/411120/
Искусство поиска решения в нестандартной задаче;1359;1941;30;Потопахин Виталий Валерьевич;ДМК-Пресс;На складе;https://www.labirint.ru/books/452683/
Автоматизированные информационно-управляющие системы с применением SCADA-системы TRACE MODE;1862;2660;30;Пьявченко Тамила Алексеевна;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/503531/
ATDD. Разработка программного обеспечения через приемочные тесты. Практический подход;1103;1576;30;Гэртнер Маркус;ДМК-Пресс;На складе;https://www.labirint.ru/books/365189/
Шейдеры и эффекты в Unity. Книга рецептов;1273;1819;30;Ламмерс Кенни;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/439336/
Полезное программирование. Уникальное руководство;850;1214;30;Комлев Николай Юрьевич;Солон-пресс;На складе;https://www.labirint.ru/books/499075/
Matlab и Simulink для радиоинженеров;2889;4127;30;Дьяконов Владимир Павлович;ДМК-Пресс;На складе;https://www.labirint.ru/books/497229/
Семантический веб;1019;1455;30;Антониоу, Грос, Хоекстра;ДМК-Пресс;На складе;https://www.labirint.ru/books/497083/
Функциональное программирование на языке Haskell;1868;2668;30;Душкин Роман Викторович;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/497084/
Разработка программного обеспечения: управление изменениями;707;1010;30;Белладжио, Миллиган;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/201673/
Путь Ruby;2379;3398;30;Фултон, Арко;ДМК-Пресс;На складе;https://www.labirint.ru/books/494531/
Программирование на Objective-C;1700;2429;30;Кочан Стивен;Эком;На складе (ограниченное количество);https://www.labirint.ru/books/442832/
Изучаем SHINY;2719;3884;30;Уикем Хэдли;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/828725/
Искусство автономного тестирования с примерами на С#;1868;2668;30;Ошероув Рой;ДМК-Пресс;На складе;https://www.labirint.ru/books/427977/
Информационная безопасность. Защита и нападение;2548;3640;30;Бирюков Андрей Александрович;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/981050/
Эффективное использование С++. 55 верных способов улучшить структуру и код ваших программ;1189;1698;30;Мэйерс Скотт;ДМК-Пресс;На складе;https://www.labirint.ru/books/427982/
Подробное руководство по DAX: бизнес-аналитика с Microsoft Power Bl, SQL Server Analysis Services;3484;4977;30;Феррари, Руссо;ДМК-Пресс;На складе;https://www.labirint.ru/books/768443/
Основы программирования на языке PascalABC.NET. Основные управляющие структуры. Практикум;899;1284;30;Ковалёва Зося Александровна;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/1003320/
Изучаем Spark;1443;2062;30;Карау, Конвински, Венделл;ДМК-Пресс;На складе;https://www.labirint.ru/books/491324/
Статистический анализ и визуализация данных с помощью R;1700;2428;30;Мастицкий, Шитиков;ДМК-Пресс;На складе;https://www.labirint.ru/books/490716/
LLVM. Инфраструктура для разработки компиляторов. Знакомство с основами LLVM;1443;2062;30;Кардос, Аулер;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/485927/
Программирование в Clojure. Практика применения Lisp в мире Java;2889;4127;30;Эмерик, Карпер, Гранд;ДМК-Пресс;На складе;https://www.labirint.ru/books/483189/
Квантовые вычисления и функциональное программирование;935;1335;30;Душкин Роман Викторович;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/475359/
Создание облачных и мобильных приложений на языке F#;678;969;30;Мол Дэниел;ДМК-Пресс;На складе;https://www.labirint.ru/books/392455/
Проектирование на ПЛИС. Архитектура, средства и методы. Курс молодого бойца;1700;2428;30;Максфилд Клайв;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/470206/
Программирование микроконтроллеров ATMEL на языке C;855;1221;30;Прокопенко Вадим Сергеевич;Корона-Принт;На складе;https://www.labirint.ru/books/379809/
Семь моделей конкуренции и параллелизма за семь недель;1530;2185;30;Батчер Пол;ДМК-Пресс;На складе;https://www.labirint.ru/books/467824/
Адаптивные и инвариантные алгоритмы обнаружения объектов на изображениях и их моделирование в Matla;1165;1664;30;Волков Владимир Юрьевич;Лань;На складе (ограниченное количество);https://www.labirint.ru/books/462412/
Дневник охотника за ошибками. Путешествие через джунгли проблем безопасности программного обеспеч.;1359;1941;30;Клейн Тобиас;ДМК-Пресс;На складе;https://www.labirint.ru/books/360829/
Silverlight 4. Создание насыщенных Web-приложений;449;642;30;Байдачный Сергей Сергеевич;Солон-пресс;На складе;https://www.labirint.ru/books/235735/
EJB 3 в действии;1700;2428;30;Панда, Рахман, Купрак;ДМК-Пресс;На складе;https://www.labirint.ru/books/456061/
Программирование для AutoCAD 2013-2015;935;1335;30;Полещук Николай Николаевич;ДМК-Пресс;На складе;https://www.labirint.ru/books/456063/
Обработка неструктурированных текстов. Поиск, организация и манипулирование;1614;2306;30;Ингерсолл, Иортон, Фэррис;ДМК-Пресс;На складе;https://www.labirint.ru/books/455823/
Жемчужины проектирования алгоритмов. Функциональный подход. С примерами на языке Haskell;1443;2062;30;Бёрд Ричард;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/365262/
Практика программирования на языке Паскаль. Задачи и решения;1700;2428;30;Медведик Владимир Иванович;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/399039/
Spring в действии;2124;3034;30;Уоллс Крейг;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/376834/
Платформа Windows Azure;1359;1941;30;Редкар, Тони;ДМК-Пресс;На складе;https://www.labirint.ru/books/433605/
За пределами Linux с нуля. Версия 7.4. Том 2;1868;2668;30;Нет данных об авторе;ДМК-Пресс;На складе;https://www.labirint.ru/books/427981/
Разработка веб-приложений с использованием AngularJS;1103;1576;30;Козловский, Бэкон;ДМК-Пресс;На складе;https://www.labirint.ru/books/419549/
LabVIEW. Практический курс для инженеров и разработчиков;849;1213;30;Магда Юрий Степанович;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/400576/
Принципы построения, применения и проектирования компьютерной платформы U-SYS;271;387;30;Росляков, Крылов;Солон-пресс;На складе;https://www.labirint.ru/books/381228/
Разработка приложений Java EE 6 в NetBeans 7;1019;1455;30;Хеффельфингер Дэвид;ДМК-Пресс;На складе;https://www.labirint.ru/books/378980/
Курс практического программирования в Delphi. Объектно – ориентированное программирование. Практикум;709;1013;30;Санников Е. В.;Солон-пресс;На складе;https://www.labirint.ru/books/379859/
C++ AMP. Построение массивно параллельных программ с помощью Microsoft Visual C++;1189;1698;30;Грегори, Миллер;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/372573/
Оптимизация производительности приложений для iOS. Для профессионалов;778;1112;30;Во Ханг;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/372575/
Создание web-приложений в Silverlight;634;905;30;Буньон Лоран;ДМК-Пресс;На складе;https://www.labirint.ru/books/353023/
С++ для начинающих;1304;1863;30;Шилдт Герберт;Эком;На складе;https://www.labirint.ru/books/235739/
Профессиональное программирование приложений для iPhone и iPad;1057;1510;30;Баклин Джин;Эксмо;На складе;https://www.labirint.ru/books/336202/
PHP. Создание динамических страниц;1103;1575;30;Пауэрс Дэвид;Рид Групп;На складе;https://www.labirint.ru/books/325157/
Изучаем Java;1855;2650;30;Сьерра, Бейтс;Эксмо;На складе;https://www.labirint.ru/books/323187/
Macromedia Authorware 6.0. Разработка мультимедийных учебных курсов;221;316;30;Гультяев Алексей Константинович;Корона-Принт;На складе;https://www.labirint.ru/books/128788/
Groovy и Grails. Практические советы;2832;4045;30;Абдул-Джавад Башар;ДМК-Пресс;На складе;https://www.labirint.ru/books/244280/
Микрокомпьютерные системы управления. Первое знакомство;1530;2185;30;Суэмацу Есикадзу;Додека XXI век;На складе (ограниченное количество);https://www.labirint.ru/books/228211/
Silverlight 2. Технология создания интернет-приложений;510;728;30;Буньон Лоран;ДМК-Пресс;На складе (ограниченное количество);https://www.labirint.ru/books/196235/
